Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Legal matters/Judic iary others related  to the Schemes       2 Implementati on of Schemes                                      3 Quality of Services                                           4 Distributions Matters /Civic amenities Electricity,Positive,0.78,2.96,0.1531,0,0
all the matter related to NEEPCO,Neutral,2.0,3.41,0.0258,0,0
Mega Power Policy Mega,Neutral,1.99,3.5,0.0,0,0
Make in India,Neutral,1.97,3.5,0.0,0,0
Ultra Mega Power Project,Neutral,1.99,3.5,0.0,0,0
Coal Supply,Neutral,1.95,3.5,0.0,0,0
matters related to Mega Power Projects which have been accorded duty exemption under the policy,Neutral,2.06,3.41,0.0258,0,0
Public Procurement Poicy,Neutral,1.97,3.5,0.0,0,0
Fuel Supply,Neutral,1.95,3.5,0.0,0,0
Matters related to electric vechicle rralted matter  and EESL Limited and BEE,Negative,4.03,4.12,-0.1779,0,0
all the Matters related to  NTPCLimited,Neutral,2.0,3.41,0.0258,0,0
"all the matter related to  PGCIL ike administrative, vigilance, court cases, etc.",Neutral,2.05,3.41,0.0258,0,0
vigilance matters related to MoP.,Neutral,1.99,3.41,0.0258,0,0
Performance of Electricity regulatory,Neutral,1.99,3.5,0.0,0,0
"all the matter related to Damodar Valley Corporation  like administrative, vigilance, court cases, etc.",Positive,0.6,2.16,0.3818,0,0
"Reforms linked scheme and any other new scheme  formulation, Cabinet notes relted to MoP",Neutral,2.07,3.5,0.0,0,0
finanace matter related to Ministry of Power,Neutral,2.01,3.41,0.0258,0,0
all the matters related to SJVNL,Neutral,2.0,3.41,0.0258,0,0
Administrati on of the Electricity act and framing of rules the under tariff policy                                                     2 Electricity Act 2003 of pilot scheme I and II revival of stressed thermal projects,Negative,4.2,4.69,-0.34,0,0
1. all the policy and planning matters related to MoP    2. Capacity additional programme,Neutral,2.06,3.41,0.0258,0,0
1.Administrati ve (HR) 2. Court Cases 3.Audit  4.Grievance  5.Parliament Question6.Appointment of Estate Officer for and all the matter related to NHPC LIMITED,Negative,4.2,4.79,-0.368,0,0
All issues relating to Research Scheme on Power through Central Power Research Institute (CPRI) after March 1998,Neutral,2.09,3.5,0.0,0,0
Nomination of Officers to all domestic and foreign training programmes except (I) foreign training linked to projects being dealt with by the wings concerned (II) the ISTM training courses being dealt with by Adm II Section and foreign training,Neutral,2.15,3.5,0.0,0,0
Administrati ve,Neutral,1.95,3.5,0.0,0,0
Court Cases,Neutral,1.95,3.5,0.0,0,0
Audit,Neutral,1.92,3.5,0.0,0,0
Grievance,Negative,4.07,5.17,-0.4767,0,0
Parliament Question,Neutral,1.95,3.5,0.0,0,0
Appointment of Estate Officer for the project,Neutral,2.02,3.5,0.0,0,0
Administrati ve,Neutral,1.95,3.5,0.0,0,0
Court Cases,Neutral,1.95,3.5,0.0,0,0
Audit,Neutral,1.92,3.5,0.0,0,0
Grievance,Negative,4.07,5.17,-0.4767,0,0
Parliament Question,Neutral,1.95,3.5,0.0,0,0
Appointment of Estate Officer for the project,Neutral,2.02,3.5,0.0,0,0
"Matters relating to States  UT Transmission Project Lines relating to procurement of software Trai ning programmes for Power System Wing of Central Electricity Authority. RLDs royalty charges by P and T Department, PLCC and PTCC matters. Transmission Projects in and Exchange of Power with the neighboring countries.",Negative,4.12,4.04,-0.1531,0,0
all the matter related to THDC Limited and NEEPCO,Negative,4.03,4.21,-0.2023,0,0
MD-MS thesis fellowship,Neutral,1.97,3.5,0.0,0,0
ICMR-PDF fellowships,Neutral,1.95,3.5,0.0,0,0
"ICAR National Research Centre on Seed Spices, Ajmer",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Citrus Research Institute, Nagpur",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Institute for Arid Horticulture, Bikaner",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Institute for Subtropical Horticulture, Lucknow",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Institute of Temperate Horticulture, Srinagar",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Island Agricultural Research Institute, Port Blair",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Plantation Crops Research Institute, Kasaragod",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Potato Research Institute, Shimla",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Tuber Crops Research Institute, Thiruvananthapuram",Neutral,2.02,3.5,0.0,0,0
"ICAR Directorate of Cashew Research, Puttur",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate of Floricultural Research, Pune",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate of Medicinal and Aromatic Plants Research, Anand",Neutral,2.04,3.5,0.0,0,0
"ICAR Directorate of Mushroom Research, Solan",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate of Onion and Garlic Research, Pune",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Institute of Horticultural Research, Bengaluru",Neutral,2.02,3.5,0.0,0,0
"ICAR Indian Institute of Oil Palm Research, Pedavegi",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Institute of Spices Research, Kozhikode",Neutral,2.02,3.5,0.0,0,0
"ICAR Indian Institute of Vegetable Research, Varanasi",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre for Banana, Tiruchirapalli",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre for Grapes, Pune",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre for Litchi, Muzaffarpur",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Pomegranate, Solapur",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre for Orchids, Gangtok",Neutral,2.02,3.5,0.0,0,0
NITI Aayog,Neutral,1.95,3.5,0.0,0,0
Administration and Establishment Matters,Neutral,1.97,3.41,0.0258,0,0
Rural Development Schemes related,Neutral,1.99,3.5,0.0,0,0
Establishment matters,Neutral,1.93,3.41,0.0258,0,0
Ministry of Tourism,Neutral,1.97,3.5,0.0,0,0
Cheating and Misrepresentation,Critical/Urgent,6.17,6.18,-0.765,0,0
Poor Quality of Work /Service Related,Negative,6.11,5.67,-0.4767,0,1
Classification / Approval / Recognition,Positive,0.47,1.83,0.4767,0,0
"ICAR-National Research Centre on Seed Spices, Ajmer",Neutral,2.02,3.5,0.0,0,0
"ICAR-Central Citrus Research Institute, Nagpur",Neutral,2.0,3.5,0.0,0,0
"ICAR-Central Institute for Arid Horticulture, Bikaner",Neutral,2.01,3.5,0.0,0,0
"ICAR-Central Institute for Subtropical Horticulture, Lucknow",Neutral,2.01,3.5,0.0,0,0
"ICAR-Central Institute of Temperate Horticulture, Srinagar",Neutral,2.01,3.5,0.0,0,0
"ICAR-National Research Centre on Seed Spices, Ajmer",Neutral,2.02,3.5,0.0,0,0
"ICAR-Central Citrus Research Institute, Nagpur",Neutral,2.0,3.5,0.0,0,0
"ICAR-Central Institute for Arid Horticulture, Bikaner",Neutral,2.01,3.5,0.0,0,0
"ICAR-Central Institute for Subtropical Horticulture, Lucknow",Neutral,2.01,3.5,0.0,0,0
"ICAR-Central Institute of Temperate Horticulture, Srinagar",Neutral,2.01,3.5,0.0,0,0
Hotel And Accomodation,Neutral,1.97,3.5,0.0,0,0
Guide related matter,Neutral,1.95,3.41,0.0258,0,0
Regional offices,Neutral,1.95,3.5,0.0,0,0
Accounts related,Neutral,1.95,3.5,0.0,0,0
Library related,Neutral,1.95,3.5,0.0,0,0
Policy,Neutral,1.92,3.5,0.0,0,0
Financial Assistance and use of NITI Aayog,Neutral,2.02,3.5,0.0,0,0
General administration,Neutral,1.95,3.5,0.0,0,0
Employment and Skill Development,Neutral,1.99,3.5,0.0,0,0
Industry matters,Neutral,1.93,3.41,0.0258,0,0
Projects,Neutral,1.92,3.5,0.0,0,0
Translation work related to Hindi,Neutral,2.0,3.5,0.0,0,0
Health matters,Neutral,1.93,3.41,0.0258,0,0
Women Empowerment Child development and  Nutrition matters,Neutral,2.01,3.41,0.0258,0,0
special category status to states,Positive,0.51,2.09,0.4019,0,0
Reports,Neutral,1.92,3.5,0.0,0,0
Scheduled Caste Scheduled Tribe Minorities Persons with Disabilities Other Backward Classes and other vulnerable groups,Negative,4.08,4.29,-0.2263,0,0
Water related matters,Neutral,1.95,3.41,0.0258,0,0
Land related matters,Neutral,1.95,3.41,0.0258,0,0
Agriculture,Neutral,1.92,3.5,0.0,0,0
Technical and Secretarial  works,Neutral,1.99,3.5,0.0,0,0
Housing and Urban sector  schemes,Neutral,2.0,3.5,0.0,0,0
Pension  and Family Pension of  the staff of NITI Aayog and DMEO,Neutral,2.06,3.5,0.0,0,0
Annual Performance  Appraisal Report of the staff of NITI Aayog and DMEO,Neutral,2.06,3.5,0.0,0,0
Complaints regarding vigilance matter,Negative,6.02,5.34,-0.3818,0,1
Tourism,Neutral,1.92,3.5,0.0,0,0
Culture,Neutral,1.92,3.5,0.0,0,0
Panchayati Raj,Neutral,1.95,3.5,0.0,0,0
Information and  Broadcasting,Neutral,1.97,3.5,0.0,0,0
NGO Darpan,Neutral,1.95,3.5,0.0,0,0
Matters related to  Aspirational Districts Programme,Neutral,2.0,3.41,0.0258,0,0
Defence  related,Positive,0.64,3.14,0.1027,0,0
Home Affairs,Neutral,1.95,3.5,0.0,0,0
Platforms,Neutral,1.92,3.5,0.0,0,0
Frontier Technology,Neutral,1.95,3.5,0.0,0,0
Economic and Finance  Matters,Neutral,1.97,3.41,0.0258,0,0
National Institute of Labour Economics Research and Development,Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
"ICAR Central Institue for Women in Agriculture, Bhubaneswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Agricultural Statistics Research Institute, New Delhi",Neutral,2.03,3.5,0.0,0,0
"ICAR National Academy of Agricultural Research Management, Hyderabad",Neutral,2.03,3.5,0.0,0,0
"ICAR National Institute of Agricultural Economics and Policy Research, New Delhi",Neutral,2.06,3.5,0.0,0,0
Matters pertaining to Development Monitoring Evaluation Office,Neutral,2.01,3.41,0.0258,0,0
Matters relating to Atal Innovation Mission,Positive,0.52,2.09,0.4019,0,0
Posting/ Work Allocation matters,Neutral,1.97,3.41,0.0258,0,0
Pay/sanction related matters,Neutral,1.95,3.41,0.0258,0,0
Internship Scheme,Neutral,1.95,3.5,0.0,0,0
Recruitment,Neutral,1.92,3.5,0.0,0,0
MGNREGA,Neutral,1.92,3.5,0.0,0,0
PMAY-G,Neutral,1.92,3.5,0.0,0,0
NRLM,Neutral,1.92,3.5,0.0,0,0
NSAP,Neutral,1.92,3.5,0.0,0,0
PMGSY,Neutral,1.92,3.5,0.0,0,0
DDUGKY,Neutral,1.92,3.5,0.0,0,0
SPMRM,Neutral,1.92,3.5,0.0,0,0
SAGY,Neutral,1.92,3.5,0.0,0,0
Mission Antyodaya and Others,Neutral,1.99,3.5,0.0,0,0
Gazetted staff  related matter,Neutral,1.97,3.41,0.0258,0,0
Non Gazetted Staff related mattters,Neutral,2.0,3.5,0.0,0,0
Contingent or DDO related matter,Neutral,1.99,3.41,0.0258,0,0
Procurement of Resources,Neutral,1.97,3.5,0.0,0,0
Purchase of Books and periodicals,Neutral,2.0,3.5,0.0,0,0
Purchase of e resources,Neutral,1.99,3.5,0.0,0,0
Library Policies,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Department of Personnel and  Training,Neutral,2.0,3.5,0.0,0,0
Department of Administrative Reforms and  Public Grievances,Negative,4.11,4.76,-0.3612,0,0
Department of Pensions and Pensioner's Welfare,Neutral,2.01,3.5,0.0,0,0
Department of Food and Public Distribution,Neutral,2.01,3.5,0.0,0,0
Department of Consumer Affairs,Neutral,1.99,3.5,0.0,0,0
"ICAR Central Avian Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Institute for Research on Buffaloes, Hisar",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Cattle, Meerut",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Goats, Makhdoom",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Sheep and Wool Research Institute, Avikanagar",Neutral,2.03,3.5,0.0,0,0
"ICAR Directorate of Poultry Research, Hyderabad",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate on Foot and Mouth Disease, Mukteswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Veterinary Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR National Bureau of AnimalGenetic Resources, Karnal",Neutral,2.02,3.5,0.0,0,0
"ICAR National Dairy Research Institute, Karnal",Neutral,2.01,3.5,0.0,0,0
"ICAR National Institute of Animal Nutrition and Physiology, Bengaluru",Neutral,2.04,3.5,0.0,0,0
"ICAR National Institute of High Security Animal Diseases, Bhopal",Positive,0.59,2.31,0.34,0,0
"ICAR National Institute of Veterinary Epidemiology and Disease Informatics, Bengalurau",Neutral,2.05,3.5,0.0,0,0
"ICAR National Research Centre for Equines, Hisar",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Camel, Bikaner",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Meat, Hyderabad",Neutral,2.02,3.5,0.0,0,0
"ICAR  National Research Centre on Mithun, Nagaland",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Pig, Guwahati",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Yak, Dirang",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Avian Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Institute for Research on Buffaloes, Hisar",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Cattle, Meerut",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Goats, Makhdoom",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Sheep and Wool Research Institute, Avikanagar",Neutral,2.03,3.5,0.0,0,0
"ICAR Directorate of Poultry Research, Hyderabad",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate on Foot and Mouth Disease, Mukteswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Veterinary Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR National Bureau of AnimalGenetic Resources, Karnal",Neutral,2.02,3.5,0.0,0,0
"ICAR National Dairy Research Institute, Karnal",Neutral,2.01,3.5,0.0,0,0
"ICAR National Institute of Animal Nutrition and Physiology, Bengaluru",Neutral,2.04,3.5,0.0,0,0
"ICAR National Institute of High Security Animal Diseases, Bhopal",Positive,0.59,2.31,0.34,0,0
"ICAR National Institute of Veterinary Epidemiology and Disease Informatics, Bengalurau",Neutral,2.05,3.5,0.0,0,0
"ICAR National Research Centre for Equines, Hisar",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Camel, Bikaner",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Meat, Hyderabad",Neutral,2.02,3.5,0.0,0,0
"ICAR  National Research Centre on Mithun, Nagaland",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Pig, Guwahati",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Yak, Dirang",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Avian Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Institute for Research on Buffaloes, Hisar",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Cattle, Meerut",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Goats, Makhdoom",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Sheep and Wool Research Institute, Avikanagar",Neutral,2.03,3.5,0.0,0,0
"ICAR Directorate of Poultry Research, Hyderabad",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate on Foot and Mouth Disease, Mukteswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Veterinary Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR National Bureau of AnimalGenetic Resources, Karnal",Neutral,2.02,3.5,0.0,0,0
"ICAR National Dairy Research Institute, Karnal",Neutral,2.01,3.5,0.0,0,0
"ICAR National Institute of Animal Nutrition and Physiology, Bengaluru",Neutral,2.04,3.5,0.0,0,0
"ICAR National Institute of High Security Animal Diseases, Bhopal",Positive,0.59,2.31,0.34,0,0
"ICAR National Institute of Veterinary Epidemiology and Disease Informatics, Bengalurau",Neutral,2.05,3.5,0.0,0,0
"ICAR National Research Centre for Equines, Hisar",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Camel, Bikaner",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Meat, Hyderabad",Neutral,2.02,3.5,0.0,0,0
"ICAR  National Research Centre on Mithun, Nagaland",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Pig, Guwahati",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Yak, Dirang",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Avian Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Institute for Research on Buffaloes, Hisar",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Cattle, Meerut",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Goats, Makhdoom",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Sheep and Wool Research Institute, Avikanagar",Neutral,2.03,3.5,0.0,0,0
"ICAR Directorate of Poultry Research, Hyderabad",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate on Foot and Mouth Disease, Mukteswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Veterinary Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR National Bureau of AnimalGenetic Resources, Karnal",Neutral,2.02,3.5,0.0,0,0
"ICAR National Dairy Research Institute, Karnal",Neutral,2.01,3.5,0.0,0,0
"ICAR National Institute of Animal Nutrition and Physiology, Bengaluru",Neutral,2.04,3.5,0.0,0,0
"ICAR National Institute of High Security Animal Diseases, Bhopal",Positive,0.59,2.31,0.34,0,0
"ICAR National Institute of Veterinary Epidemiology and Disease Informatics, Bengalurau",Neutral,2.05,3.5,0.0,0,0
"ICAR National Research Centre for Equines, Hisar",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Camel, Bikaner",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Meat, Hyderabad",Neutral,2.02,3.5,0.0,0,0
"ICAR  National Research Centre on Mithun, Nagaland",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Pig, Guwahati",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Yak, Dirang",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Avian Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Institute for Research on Buffaloes, Hisar",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Cattle, Meerut",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Goats, Makhdoom",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Sheep and Wool Research Institute, Avikanagar",Neutral,2.03,3.5,0.0,0,0
"ICAR Directorate of Poultry Research, Hyderabad",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate on Foot and Mouth Disease, Mukteswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Veterinary Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR National Bureau of AnimalGenetic Resources, Karnal",Neutral,2.02,3.5,0.0,0,0
"ICAR National Dairy Research Institute, Karnal",Neutral,2.01,3.5,0.0,0,0
"ICAR National Institute of Animal Nutrition and Physiology, Bengaluru",Neutral,2.04,3.5,0.0,0,0
"ICAR National Institute of High Security Animal Diseases, Bhopal",Positive,0.59,2.31,0.34,0,0
"ICAR National Institute of Veterinary Epidemiology and Disease Informatics, Bengalurau",Neutral,2.05,3.5,0.0,0,0
"ICAR National Research Centre for Equines, Hisar",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Camel, Bikaner",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Meat, Hyderabad",Neutral,2.02,3.5,0.0,0,0
"ICAR  National Research Centre on Mithun, Nagaland",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Pig, Guwahati",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Yak, Dirang",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Avian Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Institute for Research on Buffaloes, Hisar",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Cattle, Meerut",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Goats, Makhdoom",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Sheep and Wool Research Institute, Avikanagar",Neutral,2.03,3.5,0.0,0,0
"ICAR Directorate of Poultry Research, Hyderabad",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate on Foot and Mouth Disease, Mukteswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Veterinary Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR National Bureau of AnimalGenetic Resources, Karnal",Neutral,2.02,3.5,0.0,0,0
"ICAR National Dairy Research Institute, Karnal",Neutral,2.01,3.5,0.0,0,0
"ICAR National Institute of Animal Nutrition and Physiology, Bengaluru",Neutral,2.04,3.5,0.0,0,0
"ICAR National Institute of High Security Animal Diseases, Bhopal",Positive,0.59,2.31,0.34,0,0
"ICAR National Institute of Veterinary Epidemiology and Disease Informatics, Bengalurau",Neutral,2.05,3.5,0.0,0,0
"ICAR National Research Centre for Equines, Hisar",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Camel, Bikaner",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Meat, Hyderabad",Neutral,2.02,3.5,0.0,0,0
"ICAR  National Research Centre on Mithun, Nagaland",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Pig, Guwahati",Neutral,2.02,3.5,0.0,0,0
"ICAR National Research Centre on Yak, Dirang",Neutral,2.02,3.5,0.0,0,0
"ICAR Central Avian Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR Central Institute for Research on Buffaloes, Hisar",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Cattle, Meerut",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Institute for Research on Goats, Makhdoom",Neutral,2.03,3.5,0.0,0,0
"ICAR Central Sheep and Wool Research Institute, Avikanagar",Neutral,2.03,3.5,0.0,0,0
"ICAR Directorate of Poultry Research, Hyderabad",Neutral,2.01,3.5,0.0,0,0
"ICAR Directorate on Foot and Mouth Disease, Mukteswar",Neutral,2.03,3.5,0.0,0,0
"ICAR Indian Veterinary Research Institute, Izatnagar",Neutral,2.01,3.5,0.0,0,0
"ICAR National Bureau of AnimalGenetic Resources, Karnal",Neutral,2.02,3.5,0.0,0,0
"ICAR National Dairy Research Institute, Karnal",Neutral,2.01,3.5,0.0,0,0
