Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Degree/Certificate Related,Neutral,1.95,3.5,0.0,0,0
Mid Day Meal Related,Neutral,1.99,3.5,0.0,0,0
National Award for Teachers (NAT) Related,Positive,0.44,1.6,0.5423,0,0
National Bal Bhawan (NBB) Related,Neutral,2.0,3.5,0.0,0,0
National Foundation for Teacher Welfare (NFTW) Related,Neutral,2.02,3.5,0.0,0,0
Health & Nutrition Related,Neutral,1.99,3.5,0.0,0,0
Digital Initiative & ICT Components Related,Neutral,2.01,3.5,0.0,0,0
Samagra Shiksha - 1,Neutral,1.99,3.5,0.0,0,0
Adult Education and Admin.,Neutral,1.99,3.5,0.0,0,0
Samagra Shiksha - 2,Neutral,1.99,3.5,0.0,0,0
